analysis,shift,interval,k,env_steps,e_total,drift_over_spread,shift_over_spread,natural_spread,bias_fraction,bias_norm,bias_cos_adjacent_k,bias_cos_to_final_k,participation_ratio,top10_dim_share,pred_norm,true_norm,norm_ratio
drift_structure,id,10,2,10,0.036431167274713516,0.03852643445134163,,0.9456148147583008,0.03603263571858406,0.5020363330841064,0.9215238690376282,0.49577221274375916,184.57752990722656,0.07452448457479477,13.648584365844727,13.513457298278809,1.009999394416809
drift_structure,id,10,3,15,0.06605664640665054,0.07060763239860535,,0.9355454444885254,0.033732328563928604,0.6540817618370056,0.9374988079071045,0.5768614411354065,182.78970336914062,0.08124849945306778,13.69563102722168,13.444904327392578,1.0186485052108765
drift_structure,id,10,4,20,0.10246344655752182,0.11151667684316635,,0.9188172817230225,0.03409986570477486,0.8190518617630005,0.9654348492622375,0.6400795578956604,183.18853759765625,0.0777478963136673,13.696361541748047,13.331555366516113,1.0273641347885132
drift_structure,id,10,5,25,0.15312577784061432,0.16870658099651337,,0.9076455235481262,0.03451945260167122,1.0074111223220825,0.9514238834381104,0.7531982064247131,182.0650634765625,0.07785840332508087,13.688879013061523,13.26329231262207,1.0320875644683838
drift_structure,id,10,6,30,0.21298815310001373,0.23661693930625916,,0.9001390933990479,0.03917308524250984,1.2656750679016113,0.9531797766685486,0.8630919456481934,181.82809448242188,0.07773440331220627,13.717126846313477,13.213936805725098,1.0380802154541016
drift_structure,id,10,7,35,0.27269330620765686,0.30602604150772095,,0.891078770160675,0.04444960132241249,1.525533676147461,0.974209189414978,0.9163026809692383,181.0113525390625,0.0810168981552124,13.727646827697754,13.154193878173828,1.0435947179794312
drift_structure,id,10,8,40,0.3338620662689209,0.37989678978919983,,0.8788231015205383,0.052969660609960556,1.8426707983016968,0.9823128581047058,0.954685389995575,179.6844482421875,0.0856311097741127,13.697835922241211,13.106698989868164,1.0451018810272217
drift_structure,id,10,9,45,0.39524245262145996,0.46269986033439636,,0.8542091250419617,0.07156827300786972,2.33046555519104,0.9867751598358154,0.9823259711265564,177.56832885742188,0.0896083191037178,13.643657684326172,13.022684097290039,1.0476839542388916
drift_structure,id,10,10,50,0.45569929480552673,0.5555092692375183,,0.82032710313797,0.0962187722325325,2.9014806747436523,0.9823259711265564,0.9999998807907104,177.57020568847656,0.09022443741559982,13.603052139282227,12.928515434265137,1.0521743297576904
drift_structure,visual,1,0,0,0.0,0.0,,0.308087557554245,nan,0.0,nan,nan,inf,nan,8.836917877197266,8.836917877197266,1.0
drift_structure,visual,1,1,5,0.11160989850759506,0.3600196838378906,,0.31001055240631104,0.10392333567142487,1.4923081398010254,nan,0.9133287072181702,172.09657287597656,0.09841148555278778,8.556496620178223,8.853185653686523,0.9664878845214844
