strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,13,test,634492,5065,18,12.41484278772626,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,14,dev,658744,5204,46,45.73076612439328,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,15,test,668349,5273,45,65.34887514967325,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,16,dev,704961,5616,16,55.35918402866156,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,17,test,734121,5889,10,162.37262940630347,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,18,dev,746433,5977,36,264.7345547522908,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,19,test,750681,6017,4,131.46328767129543,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,20,dev,768392,6137,24,20.762094153412757,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,21,test,806921,6483,104,107.8558350466926,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,22,dev,818604,6556,34,69.14721003008286,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,23,test,850663,6863,40,59.75266981185234,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,24,dev,865402,6963,19,24.00982642148945,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,25,test,975584,7930,19,242.06569524925692,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,26,dev,989447,8042,43,179.7807788792763,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,27,test,1063727,8577,27,48.09914055149858,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,28,dev,1085924,8801,58,172.86369130968006,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,29,test,1094081,8850,32,57.64338447413095,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,30,dev,1110912,8958,17,134.7918371282938,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,31,test,1138763,9240,64,447.53450621565526,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,32,dev,1207664,9876,74,41.48473844056481,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,33,test,1320555,10683,97,274.92182489980934,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,34,dev,1338312,10833,60,80.3614177015127,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,35,test,1370443,11060,102,33.443057193427634,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,36,dev,1371767,11069,94,101.17638563299352,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,37,test,1497457,11995,44,36.35118677891051,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,38,dev,1582932,12595,49,59.34766054298195,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,39,test,1592283,12683,2,84.63611793644384,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,40,dev,1751762,13940,70,193.37172450111638,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,41,test,1756693,13968,73,150.28647437286514,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,42,dev,1789810,14200,119,23.524449143608624,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,43,test,1791388,14209,50,19.240540526939665,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,44,dev,1817969,14447,33,50.92226332640143,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,45,test,1836411,14547,67,323.0713624439529,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,46,dev,1856976,14700,96,159.00302264892838,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,47,test,1872550,14853,0,201.8540074079582,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,48,dev,1917206,15248,82,17.430145369873543,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,49,test,1958883,15683,106,129.81252620380212,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,50,dev,1996212,15966,38,64.74997982281084,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,51,test,2027653,16134,150,19.554012266073023,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,52,dev,2056217,16265,51,110.23165556572937,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,53,test,2131015,16989,23,56.52078558483009,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,54,dev,2162795,17252,52,18.74032525264777,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,55,test,2227454,17719,45,18.75331239907277,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,56,dev,2237502,17787,47,67.9262420603904,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,57,test,2278535,18089,35,130.65765999870538,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,58,dev,2315577,18491,19,17.96730240895434,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,59,test,2329977,18625,21,270.8647258675698,False,4
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,0,dev,30633,278,9,20.96026375134709,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,1,test,43081,380,39,25.03469414719662,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,2,dev,68887,624,90,182.38414205616647,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,3,test,143460,1172,0,454.96949637711884,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,4,dev,161350,1326,6,92.96283032114638,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,5,test,164138,1343,91,19.684688455388272,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,6,dev,283976,2392,36,17.08144386529448,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,7,test,326635,2812,54,19.945293728434667,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,8,dev,377817,3108,5,285.0127858610217,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,9,test,459527,3743,64,49.48866931901302,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,10,dev,471804,3833,11,127.3132425357878,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,11,test,496196,3986,69,74.40373315109125,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,12,dev,502306,4030,19,15.960416002802916,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,13,test,634492,5065,18,15.69106225988492,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,14,dev,658744,5204,46,30.877707757212775,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,15,test,668349,5273,45,48.950385222765355,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,16,dev,704961,5616,16,65.08523565155218,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,17,test,734121,5889,10,148.11081079068958,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,18,dev,746433,5977,36,225.46119343328954,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,19,test,750681,6017,4,68.88787205732274,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,20,dev,768392,6137,24,62.85912995545972,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,21,test,806921,6483,104,110.09814166355456,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,22,dev,818604,6556,34,60.448864227021026,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,23,test,850663,6863,40,59.23100496910951,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,24,dev,865402,6963,19,16.98337609595539,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,25,test,975584,7930,19,125.90593031858872,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,26,dev,989447,8042,43,191.68176133127258,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,27,test,1063727,8577,27,26.028757587047977,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,28,dev,1085924,8801,58,46.043799655403625,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,29,test,1094081,8850,32,20.772163124004848,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,30,dev,1110912,8958,17,96.34776517094254,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,31,test,1138763,9240,64,603.2640002162008,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,32,dev,1207664,9876,74,49.21102123849953,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,33,test,1320555,10683,97,406.993721588242,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,34,dev,1338312,10833,60,41.32791481543386,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,35,test,1370443,11060,102,10.996062098149935,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,36,dev,1371767,11069,94,77.46317894683095,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,37,test,1497457,11995,44,24.569087702360953,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,38,dev,1582932,12595,49,11.22841661894437,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,39,test,1592283,12683,2,55.2593199858392,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,40,dev,1751762,13940,70,143.89895820168252,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,41,test,1756693,13968,73,177.38414982246616,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,42,dev,1789810,14200,119,31.310581916724225,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,43,test,1791388,14209,50,10.886594613564549,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,44,dev,1817969,14447,33,25.075143902210435,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,45,test,1836411,14547,67,416.725829828119,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,46,dev,1856976,14700,96,178.60309924870649,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,47,test,1872550,14853,0,198.6792608648182,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,48,dev,1917206,15248,82,19.384615905387232,True,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,49,test,1958883,15683,106,145.54756622636395,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,50,dev,1996212,15966,38,42.41965838396999,False,9
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,True,False,51,test,2027653,16134,150,19.7393178854198,True,9
