kind,shift,metric,k,env_steps,mean,std,median,p25,p75,n
rollout_error,visual,cosine,5,25,0.5053741931915283,0.26624903082847595,0.47629573941230774,0.2793559432029724,0.7411404848098755,200
rollout_error,visual,cosine,6,30,0.5332024097442627,0.26797133684158325,0.5268927812576294,0.3074086308479309,0.7528969049453735,200
rollout_error,visual,cosine,7,35,0.5565910339355469,0.26716893911361694,0.5501697063446045,0.31751370429992676,0.787882924079895,200
rollout_error,visual,cosine,8,40,0.5773397088050842,0.26676231622695923,0.5835211873054504,0.3658964931964874,0.802837610244751,200
rollout_error,visual,cosine,9,45,0.601540207862854,0.2666434943675995,0.6133070588111877,0.3720356225967407,0.8269320726394653,200
rollout_error,visual,cosine,10,50,0.6147605776786804,0.263111412525177,0.6155351400375366,0.40553411841392517,0.8268476724624634,200
rollout_error,geometry,mse,0,0,8.70333332855279e-14,1.8177215239728248e-14,8.6496212753015e-14,7.418245434164666e-14,9.900587294442431e-14,200
rollout_error,geometry,mse,1,5,0.08014539629220963,0.13369348645210266,0.028995297849178314,0.016149956732988358,0.06995965540409088,200
rollout_error,geometry,mse,2,10,0.14894844591617584,0.22848856449127197,0.06657537072896957,0.03515265882015228,0.15713989734649658,200
rollout_error,geometry,mse,3,15,0.22495467960834503,0.30279454588890076,0.11504866182804108,0.06358910351991653,0.24943338334560394,200
rollout_error,geometry,mse,4,20,0.3179625868797302,0.366980642080307,0.1744372546672821,0.0837269127368927,0.3850864768028259,200
rollout_error,geometry,mse,5,25,0.3902343511581421,0.39981910586357117,0.2503339946269989,0.11865133047103882,0.4903370141983032,200
rollout_error,geometry,mse,6,30,0.49128517508506775,0.45649591088294983,0.3580207824707031,0.1400144100189209,0.6883527040481567,200
rollout_error,geometry,mse,7,35,0.5804092884063721,0.5083404183387756,0.43466097116470337,0.1854272335767746,0.7758091688156128,200
rollout_error,geometry,mse,8,40,0.6608036756515503,0.5637156367301941,0.46575719118118286,0.19402404129505157,1.0145021677017212,200
rollout_error,geometry,mse,9,45,0.716414213180542,0.5828853249549866,0.5049950480461121,0.22859691083431244,1.1651911735534668,200
rollout_error,geometry,mse,10,50,0.7538313865661621,0.6081064939498901,0.4990556836128235,0.23730823397636414,1.3081649541854858,200
rollout_error,geometry,l2,0,0,4.064986114826752e-06,4.3160906670891563e-07,4.0751938286121e-06,3.7739932849945035e-06,4.359942522569327e-06,200
rollout_error,geometry,l2,1,5,3.211332321166992,2.252833843231201,2.3594696521759033,1.7609065771102905,3.664762258529663,200
rollout_error,geometry,l2,2,10,4.524811267852783,2.8502960205078125,3.575246572494507,2.597918748855591,5.492764949798584,200
rollout_error,geometry,l2,3,15,5.711774826049805,3.2506797313690186,4.699787139892578,3.4941463470458984,6.920347213745117,200
rollout_error,geometry,l2,4,20,6.868371486663818,3.7248213291168213,5.787199020385742,4.00942850112915,8.598639488220215,200
rollout_error,geometry,l2,5,25,7.7595133781433105,3.8360049724578857,6.932829856872559,4.772888660430908,9.702779769897461,200
rollout_error,geometry,l2,6,30,8.739537239074707,4.236417293548584,8.290939331054688,5.184851169586182,11.496116638183594,200
rollout_error,geometry,l2,7,35,9.557971954345703,4.481489658355713,9.13491153717041,5.966564178466797,12.204655647277832,200
rollout_error,geometry,l2,8,40,10.191632270812988,4.796344757080078,9.456381797790527,6.103491306304932,13.956517219543457,200
rollout_error,geometry,l2,9,45,10.681537628173828,4.843164443969727,9.846574783325195,6.62498664855957,14.957158088684082,200
rollout_error,geometry,l2,10,50,10.960566520690918,4.959999084472656,9.788487434387207,6.750000953674316,15.848188400268555,200
rollout_error,geometry,cosine,0,0,6.258487506016763e-09,6.512949823900271e-08,0.0,0.0,5.960464477539063e-08,200
rollout_error,geometry,cosine,1,5,0.05250074714422226,0.0909583792090416,0.01837441325187683,0.008943051099777222,0.04250548779964447,200
rollout_error,geometry,cosine,2,10,0.09647256880998611,0.1516808420419693,0.040302783250808716,0.020576640963554382,0.09912748634815216,200
rollout_error,geometry,cosine,3,15,0.14435932040214539,0.196854829788208,0.07340756058692932,0.03648480772972107,0.14610067009925842,200
rollout_error,geometry,cosine,4,20,0.20446747541427612,0.24027422070503235,0.10839647054672241,0.050357550382614136,0.2643809914588928,200
rollout_error,geometry,cosine,5,25,0.2456922084093094,0.25920921564102173,0.14341434836387634,0.07038739323616028,0.3005836606025696,200
rollout_error,geometry,cosine,6,30,0.30326348543167114,0.2864471971988678,0.20072218775749207,0.08283138275146484,0.4129505157470703,200
rollout_error,geometry,cosine,7,35,0.35054272413253784,0.30863383412361145,0.24172857403755188,0.10787336528301239,0.5138720273971558,200
rollout_error,geometry,cosine,8,40,0.39326727390289307,0.33952564001083374,0.2896033525466919,0.10606503486633301,0.6962857246398926,200
rollout_error,geometry,cosine,9,45,0.4227800667285919,0.34704163670539856,0.29405564069747925,0.12148983776569366,0.733720600605011,200
rollout_error,geometry,cosine,10,50,0.4414658844470978,0.35816580057144165,0.3245851993560791,0.12445764243602753,0.7675292491912842,200
encoder_shift,visual,mse,0,0,1.3275725841522217,0.20240288972854614,1.3327453136444092,1.1813985109329224,1.4545984268188477,200
encoder_shift,visual,mse,1,5,1.3169875144958496,0.21639959514141083,1.333733320236206,1.1788495779037476,1.4433115720748901,200
