protocol,horizon,goal_offset,k_train,num_samples,success_rate,n_success,evaluation_time_seconds,source,success_bits
fixcalls,3,25,5,500,84.0,42,51.59322690963745,gateA_iter2_multistep_h3_off25_fixcalls.txt,10111111111111100011101111111111111111111101111001
fixcalls,3,25,10,500,82.0,41,52.287455558776855,gateA_pd_d192_k10_h3_off25_fixcalls.txt,11111111111111000111111111111111011111001010111101
fixcalls,3,40,1,500,44.0,22,90.90433621406555,gateA_iter2_baseline_h3_off40_fixcalls.txt,00000001100110111011111111001000001010000001101100
fixcalls,3,40,2,500,36.0,18,95.69580078125,gateA_pd_d192_k2_h3_off40_fixcalls.txt,00001001100100011000011111001000001010100000011100
fixcalls,3,40,3,500,60.0,30,76.79625391960144,gateA_pd_d192_k3_h3_off40_fixcalls.txt,00010111101111111000111111101010011011000001111100
fixcalls,3,40,5,500,42.0,21,90.15325236320496,gateA_iter2_multistep_h3_off40_fixcalls.txt,00110001100010011001001111001000010011000001111100
fixcalls,3,40,10,500,38.0,19,93.83798909187317,gateA_pd_d192_k10_h3_off40_fixcalls.txt,10000001000010110000011111001000011011000000111100
fixcalls,3,60,1,500,22.0,11,105.91744542121887,gateA_iter2_baseline_h3_off60_fixcalls.txt,01010001000000000000000000101000000010101000001101
fixcalls,3,60,2,500,22.0,11,107.45994997024536,gateA_pd_d192_k2_h3_off60_fixcalls.txt,01010001000010000000000000101000000110101000001000
fixcalls,3,60,3,500,22.0,11,107.43766450881958,gateA_pd_d192_k3_h3_off60_fixcalls.txt,01010001000000000000000000101000000100101001001001
fixcalls,3,60,5,500,18.0,9,108.60162544250488,gateA_iter2_multistep_h3_off60_fixcalls.txt,00010000000000001001000000111000100000001000001000
fixcalls,3,60,10,500,22.0,11,107.80462956428528,gateA_pd_d192_k10_h3_off60_fixcalls.txt,01010101000000001000000000111000000000101000001000
fixcalls,5,25,1,300,86.0,43,51.984517097473145,gateA_iter2_baseline_h5_off25_fixcalls.txt,11011111111011011111111101111110111111111101111101
fixcalls,5,25,2,300,76.0,38,50.91626048088074,gateA_pd_d192_k2_h5_off25_fixcalls.txt,11011011111111001111101101111110011111001101111101
fixcalls,5,25,3,300,86.0,43,47.98894500732422,gateA_pd_d192_k3_h5_off25_fixcalls.txt,11011111111111001111101111111111111111011101111011
fixcalls,5,25,5,300,90.0,45,47.43738770484924,gateA_iter2_multistep_h5_off25_fixcalls.txt,11111111111111011011111111111111111111011101111011
fixcalls,5,25,10,300,88.0,44,46.805139780044556,gateA_pd_d192_k10_h5_off25_fixcalls.txt,10111111111111110111111111111111111111011100111101
fixcalls,5,40,1,300,40.0,20,64.10801458358765,gateA_iter2_baseline_h5_off40_fixcalls.txt,00010001100110011000010111101000001011110000100100
fixcalls,5,40,2,300,52.0,26,61.91509819030762,gateA_pd_d192_k2_h5_off40_fixcalls.txt,10010001000101111000111111101010001011100001111100
fixcalls,5,40,3,300,62.0,31,57.73836350440979,gateA_pd_d192_k3_h5_off40_fixcalls.txt,00011111101111111000111111101000011011010000111101
fixcalls,5,40,5,300,58.0,29,62.270501136779785,gateA_iter2_multistep_h5_off40_fixcalls.txt,00101011100011111000101111001010110011110001111101
fixcalls,5,40,10,300,52.0,26,59.58630871772766,gateA_pd_d192_k10_h5_off40_fixcalls.txt,10100011010011110000011111001010011011110000111100
fixcalls,5,60,1,300,20.0,10,71.10014510154724,gateA_iter2_baseline_h5_off60_fixcalls.txt,01010001000000000000000000101000001010101000001000
fixcalls,5,60,2,300,22.0,11,70.305579662323,gateA_pd_d192_k2_h5_off60_fixcalls.txt,01010001000000001000000000101110000010101000000000
fixcalls,5,60,3,300,24.0,12,69.92017912864685,gateA_pd_d192_k3_h5_off60_fixcalls.txt,01010001000000010000010000111000000100101000001000
fixcalls,5,60,5,300,24.0,12,69.1290934085846,gateA_iter2_multistep_h5_off60_fixcalls.txt,01010001000010001000000000111000000000101000001001
fixcalls,5,60,10,300,26.0,13,68.73530697822571,gateA_pd_d192_k10_h5_off60_fixcalls.txt,01011001000000000000000000111000000000101010001011
fixcalls,8,25,1,187,30.0,15,96.47668671607971,gateA_iter2_baseline_h8_off25_fixcalls.txt,10001000001101000110000000001010110001110001000000
fixcalls,8,25,2,187,34.0,17,98.362957239151,gateA_pd_d192_k2_h8_off25_fixcalls.txt,10011000101001000010100100000110000111001000100100
fixcalls,8,25,3,187,32.0,16,97.13165998458862,gateA_pd_d192_k3_h8_off25_fixcalls.txt,10001000101101000000000000001100100101101001100100
fixcalls,8,25,5,187,42.0,21,98.78844428062439,gateA_iter2_multistep_h8_off25_fixcalls.txt,10011100000011010010110000101011100001001101001001
fixcalls,8,25,10,187,36.0,18,100.1436243057251,gateA_pd_d192_k10_h8_off25_fixcalls.txt,10010000000001001110110001001101100010011101000000
fixcalls,8,40,1,187,8.0,4,101.80973863601685,gateA_iter2_baseline_h8_off40_fixcalls.txt,10000010000100000000000001000000000000000000000000
fixcalls,8,40,2,187,14.0,7,101.98486590385437,gateA_pd_d192_k2_h8_off40_fixcalls.txt,10000000000110000000000000000010100000000000001100
fixcalls,8,40,3,187,20.0,10,101.59224367141724,gateA_pd_d192_k3_h8_off40_fixcalls.txt,10000100000110010000100001100000000000100000001000
fixcalls,8,40,5,187,6.0,3,102.45465779304504,gateA_iter2_multistep_h8_off40_fixcalls.txt,00000000000000000000100000000000000000000000001100
fixcalls,8,40,10,187,8.0,4,102.7223653793335,gateA_pd_d192_k10_h8_off40_fixcalls.txt,00000000000000010000000001000000100000000000001000
fixcalls,8,60,1,187,12.0,6,103.37434911727905,gateA_iter2_baseline_h8_off60_fixcalls.txt,00000000000000000000010000110100000100001000000000
fixcalls,8,60,2,187,10.0,5,102.78473734855652,gateA_pd_d192_k2_h8_off60_fixcalls.txt,00000000000000000000010000110000000000001000001000
fixcalls,8,60,3,187,8.0,4,102.30165076255798,gateA_pd_d192_k3_h8_off60_fixcalls.txt,00000001000000000000000000110000000100000000000000
fixcalls,8,60,5,187,6.0,3,101.77263259887695,gateA_iter2_multistep_h8_off60_fixcalls.txt,00000000000000000000000000000100000000101000000000
fixcalls,8,60,10,187,6.0,3,101.23133063316345,gateA_pd_d192_k10_h8_off60_fixcalls.txt,00000000000000000000000000100000000000001001000000
fixcalls,10,25,1,150,14.0,7,124.80064797401428,gateA_iter2_baseline_h10_off25_fixcalls.txt,00000000001001000010000000001000000001100001000000
fixcalls,10,25,2,150,20.0,10,120.0155839920044,gateA_pd_d192_k2_h10_off25_fixcalls.txt,10101000001000000010000000001100000001000000100100
fixcalls,10,25,3,150,28.0,14,122.01620578765869,gateA_pd_d192_k3_h10_off25_fixcalls.txt,10001000101101001000000000001100100100000001100010
fixcalls,10,25,5,150,30.0,15,122.67288279533386,gateA_iter2_multistep_h10_off25_fixcalls.txt,10001100000011000010100010101000100010000001000011
fixcalls,10,25,10,150,16.0,8,122.53401684761047,gateA_pd_d192_k10_h10_off25_fixcalls.txt,00010000000000001010000000000100100000011000000001
fixcalls,10,40,1,150,10.0,5,125.84952545166016,gateA_iter2_baseline_h10_off40_fixcalls.txt,10001010000110000000000000000000000000000000000000
fixcalls,10,40,2,150,6.0,3,124.9551613330841,gateA_pd_d192_k2_h10_off40_fixcalls.txt,00000000100000000000000000000000000001000000001000
fixcalls,10,40,3,150,10.0,5,126.1386239528656,gateA_pd_d192_k3_h10_off40_fixcalls.txt,00000000000010000000000001000000110000000000001000
fixcalls,10,40,5,150,4.0,2,126.21749210357666,gateA_iter2_multistep_h10_off40_fixcalls.txt,00000000000000000000000100000000000000000000001000
fixcalls,10,40,10,150,12.0,6,125.61344814300537,gateA_pd_d192_k10_h10_off40_fixcalls.txt,00000011000000000000000001000000101000000000000100
fixcalls,10,60,1,150,4.0,2,124.68897867202759,gateA_iter2_baseline_h10_off60_fixcalls.txt,00000000000000000000000000010000000000000000000001
fixcalls,10,60,2,150,0.0,0,126.29536485671997,gateA_pd_d192_k2_h10_off60_fixcalls.txt,00000000000000000000000000000000000000000000000000
fixcalls,10,60,3,150,2.0,1,127.06968593597412,gateA_pd_d192_k3_h10_off60_fixcalls.txt,00000000000000000000000000000000000000001000000000
fixcalls,10,60,5,150,4.0,2,126.9219298362732,gateA_iter2_multistep_h10_off60_fixcalls.txt,00000000000000010000000000000000000000001000000000
fixcalls,10,60,10,150,4.0,2,123.60214710235596,gateA_pd_d192_k10_h10_off60_fixcalls.txt,00000000000000000000000000100000000000000010000000
