split,generator,scorer,is_self_scorer,step,n_states,elite_count,mean_elite_overlap,mean_update_cosine,mean_relative_update_error,mean_learned_elite_success_fraction,mean_oracle_elite_success_fraction
dev,iter2_multistep_eval,pd_d192_k10_eval,False,19,6,30,0.16111111111111112,0.36377813073682663,1.1214461929878754,0.16666666666666666,0.19444444444444445
dev,iter2_multistep_eval,pd_d192_k10_eval,False,29,6,30,0.17777777777777778,0.24781569371400014,1.3314611971912378,0.18888888888888888,0.3111111111111111
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,0,6,30,0.48333333333333334,0.5827248797598232,0.8492518024909779,0.08333333333333333,0.12222222222222222
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,1,6,30,0.31111111111111106,0.48884197424979825,0.9422599821146599,0.1388888888888889,0.16666666666666666
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,2,6,30,0.2888888888888889,0.3909196451238482,1.0454043948753533,0.15555555555555556,0.16666666666666666
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,4,6,30,0.2222222222222222,0.2863996149348587,1.222076912816519,0.17222222222222225,0.17777777777777778
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,9,6,30,0.33888888888888885,0.3745797416893224,1.1288215548589131,0.18888888888888888,0.18888888888888888
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,19,6,30,0.41111111111111115,0.47297098066436555,0.9534410515059379,0.20555555555555557,0.21666666666666667
dev,pd_d192_k10_eval,pd_d192_k3_eval,False,29,6,30,0.3166666666666667,0.33827682271388326,1.0661935957829696,0.2111111111111111,0.29444444444444445
dev,pd_d192_k10_eval,iter2_multistep_eval,False,0,6,30,0.6111111111111112,0.7232988748088361,0.6811671583647129,0.08888888888888889,0.12222222222222222
dev,pd_d192_k10_eval,iter2_multistep_eval,False,1,6,30,0.5166666666666666,0.6548893908487091,0.7412399524751893,0.16111111111111112,0.16666666666666666
dev,pd_d192_k10_eval,iter2_multistep_eval,False,2,6,30,0.45,0.5934480297469413,0.8554137754931733,0.1388888888888889,0.16666666666666666
dev,pd_d192_k10_eval,iter2_multistep_eval,False,4,6,30,0.3,0.3265770542448892,1.1292166591287358,0.17222222222222225,0.17777777777777778
dev,pd_d192_k10_eval,iter2_multistep_eval,False,9,6,30,0.27777777777777773,0.2320263690482656,1.1727109990283344,0.17777777777777778,0.18888888888888888
dev,pd_d192_k10_eval,iter2_multistep_eval,False,19,6,30,0.2611111111111111,0.2456438858066259,1.1444437565952041,0.19999999999999998,0.21666666666666667
dev,pd_d192_k10_eval,iter2_multistep_eval,False,29,6,30,0.2555555555555556,0.30729865717056787,1.0931238282672247,0.20555555555555557,0.29444444444444445
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,0,6,30,0.5,0.5465518445773313,0.8201063893723454,0.08888888888888889,0.12222222222222222
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,1,6,30,0.4055555555555555,0.3948041836455299,0.9683622697222504,0.14444444444444446,0.16666666666666666
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,2,6,30,0.3722222222222222,0.3809592394118619,0.9605383637349613,0.15,0.16666666666666666
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,4,6,30,0.25555555555555554,0.2542319301920193,1.1327121803784126,0.17222222222222225,0.17777777777777778
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,9,6,30,0.19444444444444445,0.11562998790533476,1.2154614791871847,0.16666666666666666,0.18888888888888888
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,19,6,30,0.1111111111111111,0.15773595874094823,1.2014545654652025,0.16666666666666666,0.21666666666666667
dev,pd_d192_k10_eval,pd_d192_k10_eval,True,29,6,30,0.11666666666666665,0.18725552335132278,1.0992947774152177,0.2111111111111111,0.29444444444444445
test,pd_d192_k3_eval,pd_d192_k3_eval,True,0,6,30,0.4777777777777777,0.6341791189935034,0.8111512713131699,0.022222222222222223,0.03333333333333333
test,pd_d192_k3_eval,pd_d192_k3_eval,True,1,6,30,0.33888888888888885,0.45234360899803416,0.9850056027620621,0.049999999999999996,0.17777777777777778
test,pd_d192_k3_eval,pd_d192_k3_eval,True,2,6,30,0.20555555555555552,0.23270439478873792,1.1729312237028229,0.13888888888888887,0.4444444444444445
test,pd_d192_k3_eval,pd_d192_k3_eval,True,4,6,30,0.21666666666666665,0.1694481766857817,1.1528012494029267,0.17777777777777778,0.48333333333333334
test,pd_d192_k3_eval,pd_d192_k3_eval,True,9,6,30,0.2888888888888889,0.11682296502885488,1.2715744283870236,0.2611111111111111,0.5055555555555555
test,pd_d192_k3_eval,pd_d192_k3_eval,True,19,6,30,0.25,0.28115289038075736,1.0137628799849239,0.33888888888888885,0.5277777777777778
test,pd_d192_k3_eval,pd_d192_k3_eval,True,29,6,30,0.18333333333333335,0.27407109419438297,1.0533102713039288,0.4611111111111111,0.6666666666666666
test,pd_d192_k3_eval,iter2_multistep_eval,False,0,6,30,0.4777777777777778,0.5113227697192019,0.8352273163671279,0.022222222222222223,0.03333333333333333
test,pd_d192_k3_eval,iter2_multistep_eval,False,1,6,30,0.3888888888888889,0.3810178255348715,1.010013804304522,0.09444444444444444,0.17777777777777778
test,pd_d192_k3_eval,iter2_multistep_eval,False,2,6,30,0.3,0.15131729576346956,1.2822142959660188,0.20555555555555557,0.4444444444444445
test,pd_d192_k3_eval,iter2_multistep_eval,False,4,6,30,0.27222222222222225,0.18861460013000772,1.1702341051089737,0.22777777777777777,0.48333333333333334
test,pd_d192_k3_eval,iter2_multistep_eval,False,9,6,30,0.2555555555555556,-0.010226112880522133,1.3915040112715913,0.31666666666666665,0.5055555555555555
test,pd_d192_k3_eval,iter2_multistep_eval,False,19,6,30,0.26666666666666666,0.36191251432590904,1.0701211038640468,0.35555555555555557,0.5277777777777778
test,pd_d192_k3_eval,iter2_multistep_eval,False,29,6,30,0.3055555555555555,0.42781283003405735,1.004070061427812,0.5444444444444444,0.6666666666666666
test,pd_d192_k3_eval,pd_d192_k10_eval,False,0,6,30,0.5222222222222221,0.5574054310853319,0.8122735823283532,0.027777777777777776,0.03333333333333333
test,pd_d192_k3_eval,pd_d192_k10_eval,False,1,6,30,0.4555555555555555,0.5055144430560363,0.9143593258486501,0.08333333333333333,0.17777777777777778
test,pd_d192_k3_eval,pd_d192_k10_eval,False,2,6,30,0.35000000000000003,0.3041676791799728,1.105038821117567,0.1611111111111111,0.4444444444444445
test,pd_d192_k3_eval,pd_d192_k10_eval,False,4,6,30,0.39444444444444443,0.400807191600339,0.9700734694031338,0.24444444444444444,0.48333333333333334
test,pd_d192_k3_eval,pd_d192_k10_eval,False,9,6,30,0.32222222222222224,0.13190542423894927,1.3100762849129028,0.3333333333333333,0.5055555555555555
test,pd_d192_k3_eval,pd_d192_k10_eval,False,19,6,30,0.28888888888888886,0.30362881847226414,1.1254945293790515,0.37222222222222223,0.5277777777777778
test,pd_d192_k3_eval,pd_d192_k10_eval,False,29,6,30,0.3,0.3974332603020905,1.0553004869103566,0.5722222222222223,0.6666666666666666
test,iter2_multistep_eval,pd_d192_k3_eval,False,0,6,30,0.4777777777777777,0.6341791189935034,0.8111512713131699,0.022222222222222223,0.03333333333333333
test,iter2_multistep_eval,pd_d192_k3_eval,False,1,6,30,0.3500000000000001,0.47885636042488094,1.014209542965783,0.0888888888888889,0.25
test,iter2_multistep_eval,pd_d192_k3_eval,False,2,6,30,0.35000000000000003,0.3972354368144997,1.0481858873494527,0.17777777777777778,0.44999999999999996
test,iter2_multistep_eval,pd_d192_k3_eval,False,4,6,30,0.3333333333333333,0.4295573659910847,1.0329063191906813,0.19444444444444445,0.5166666666666667
test,iter2_multistep_eval,pd_d192_k3_eval,False,9,6,30,0.3055555555555555,0.21477799024143093,1.183849420068489,0.3222222222222222,0.6055555555555555
test,iter2_multistep_eval,pd_d192_k3_eval,False,19,6,30,0.29444444444444445,0.31621041393189664,1.1855742480729459,0.4222222222222222,0.65
test,iter2_multistep_eval,pd_d192_k3_eval,False,29,6,30,0.19444444444444442,0.07478019692421477,1.3063106431649054,0.4444444444444444,0.6666666666666666
test,iter2_multistep_eval,iter2_multistep_eval,True,0,6,30,0.4777777777777778,0.5113227697192019,0.8352273163671279,0.022222222222222223,0.03333333333333333
test,iter2_multistep_eval,iter2_multistep_eval,True,1,6,30,0.3888888888888889,0.42069536070568114,1.0092915249451373,0.09444444444444444,0.25
test,iter2_multistep_eval,iter2_multistep_eval,True,2,6,30,0.3277777777777778,0.3410818234923417,1.064820310065493,0.22777777777777777,0.44999999999999996
test,iter2_multistep_eval,iter2_multistep_eval,True,4,6,30,0.3333333333333333,0.23352543520623414,1.1368089735408684,0.29444444444444445,0.5166666666666667
test,iter2_multistep_eval,iter2_multistep_eval,True,9,6,30,0.3055555555555556,0.20263220489910946,1.128244457896147,0.4166666666666667,0.6055555555555555
test,iter2_multistep_eval,iter2_multistep_eval,True,19,6,30,0.2722222222222222,0.3180171935869763,1.0843747950248914,0.5333333333333333,0.65
test,iter2_multistep_eval,iter2_multistep_eval,True,29,6,30,0.22777777777777777,0.11002932911263162,1.2056020773135647,0.5944444444444444,0.6666666666666666
test,iter2_multistep_eval,pd_d192_k10_eval,False,0,6,30,0.5222222222222221,0.5574054310853319,0.8122735823283532,0.027777777777777776,0.03333333333333333
test,iter2_multistep_eval,pd_d192_k10_eval,False,1,6,30,0.4333333333333333,0.5065755936992673,0.9278545161768071,0.09999999999999999,0.25
test,iter2_multistep_eval,pd_d192_k10_eval,False,2,6,30,0.3611111111111111,0.3957412794481769,1.0255482732021577,0.23888888888888893,0.44999999999999996
test,iter2_multistep_eval,pd_d192_k10_eval,False,4,6,30,0.24444444444444446,0.052110453759692366,1.3298302703489842,0.22222222222222224,0.5166666666666667
test,iter2_multistep_eval,pd_d192_k10_eval,False,9,6,30,0.29444444444444445,0.0828866275949057,1.2811235911071273,0.41666666666666674,0.6055555555555555
test,iter2_multistep_eval,pd_d192_k10_eval,False,19,6,30,0.15,0.11676522521272996,1.3631420791450906,0.4777777777777778,0.65
test,iter2_multistep_eval,pd_d192_k10_eval,False,29,6,30,0.09444444444444444,-0.1259889161493302,1.5246298278174957,0.5555555555555556,0.6666666666666666
test,pd_d192_k10_eval,pd_d192_k3_eval,False,0,6,30,0.4777777777777777,0.6341791189935034,0.8111512713131699,0.022222222222222223,0.03333333333333333
test,pd_d192_k10_eval,pd_d192_k3_eval,False,1,6,30,0.37222222222222223,0.4863760465884705,0.969379817948003,0.08333333333333333,0.2222222222222222
test,pd_d192_k10_eval,pd_d192_k3_eval,False,2,6,30,0.2888888888888889,0.3713830088294514,1.065745733351714,0.18888888888888888,0.45
test,pd_d192_k10_eval,pd_d192_k3_eval,False,4,6,30,0.3277777777777778,0.39652529669962333,1.0619239123804252,0.19999999999999998,0.4444444444444445
test,pd_d192_k10_eval,pd_d192_k3_eval,False,9,6,30,0.3111111111111111,0.3209974551143979,1.093914607106411,0.29444444444444445,0.6055555555555555
test,pd_d192_k10_eval,pd_d192_k3_eval,False,19,6,30,0.43333333333333335,0.502818842675961,0.9586977916412374,0.4444444444444444,0.6611111111111111
