strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:returned:score_by_iter2_multistep_eval,round_verification,pd_d192_k3_eval,iter2_multistep_eval,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k10_eval,round_verification,pd_d192_k3_eval,pd_d192_k10_eval,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,3,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,2,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,1,False,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:population_all:score_by_pd_d192_k3_eval,population_verification,pd_d192_k3_eval,pd_d192_k3_eval,all_recorded_populations,300,True,False,dev,25,49.670782644311466,25.163429330864354,78.38416120237027,0.72,0.52,0.88,29.0,pd_d192_k3_eval:returned:final,0.9412191491710584,-1.0037494009756167,2.8788657709729675,0.04,0.0,0.12
pd_d192_k3_eval:population_elite:score_by_pd_d192_k3_eval,elite_verification,pd_d192_k3_eval,pd_d192_k3_eval,recorded_generator_elites,30,True,False,dev,25,49.670782644311466,25.163429330864354,78.38416120237027,0.72,0.52,0.88,29.0,pd_d192_k3_eval:returned:final,0.9412191491710584,-1.0037494009756167,2.8788657709729675,0.04,0.0,0.12
pd_d192_k3_eval:population_all:score_by_iter2_multistep_eval,population_verification,pd_d192_k3_eval,iter2_multistep_eval,all_recorded_populations,300,True,False,dev,25,51.18487363383878,25.515790125337546,81.83531771928115,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,2.4553101386983722,-2.275720855089971,8.629863348304994,0.0,-0.12,0.12
pd_d192_k3_eval:population_elite:score_by_iter2_multistep_eval,elite_verification,pd_d192_k3_eval,iter2_multistep_eval,recorded_generator_elites,30,True,False,dev,25,48.45127772712262,24.389291949641404,76.40916898279745,0.72,0.56,0.88,29.0,pd_d192_k3_eval:returned:final,-0.2782857680177811,-2.6777623890449083,2.1578839467957325,0.04,0.0,0.12
pd_d192_k3_eval:population_all:score_by_pd_d192_k10_eval,population_verification,pd_d192_k3_eval,pd_d192_k10_eval,all_recorded_populations,300,True,False,dev,25,51.3418032184559,25.886162022377526,81.95760785453732,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,2.6122397233154895,-2.5712050578328633,8.871649734680005,0.0,-0.12,0.12
pd_d192_k3_eval:population_elite:score_by_pd_d192_k10_eval,elite_verification,pd_d192_k3_eval,pd_d192_k10_eval,recorded_generator_elites,30,True,False,dev,25,49.770398854844714,25.993636924939224,77.56053990702057,0.72,0.52,0.88,29.0,pd_d192_k3_eval:returned:final,1.04083535970432,-1.0446536405291211,3.224991198086223,0.04,0.0,0.12
pd_d192_k3_eval:population_all:all_rank_consensus,population_verification,pd_d192_k3_eval,all_rank_consensus,all_recorded_populations,900,True,False,dev,25,47.33020580723783,23.501739564632206,75.09946506659126,0.72,0.52,0.88,29.0,pd_d192_k3_eval:returned:final,-1.399357687902571,-3.488639199562132,0.58773108164229,0.04,0.0,0.12
