run,epoch,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,state_index,update_cosine,base_score_mae_delta_vs_epoch0,base_score_normalized_mae_delta_vs_epoch0,base_topk_overlap_delta_vs_epoch0,elite_overlap_delta_vs_epoch0,relative_update_error_delta_vs_epoch0,selected_elite_true_cost_delta_vs_epoch0,update_cosine_delta_vs_epoch0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.24166666666666664,1.1524327993710908,29.23981795352335,13,0.21458974364728453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.09166666666666666,1.1211029368721532,75.81676682482673,16,0.09644842818274572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.14166666666666666,1.0306810826958808,109.02765101667862,19,0.21972699061826573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.21666666666666667,1.1336647105049271,47.51134349995722,22,0.3340823632841199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.29166666666666663,0.9913918972565858,125.42293752027498,25,0.44540992956713915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.225,1.1508049183645341,67.25250613132468,28,0.19169692029886096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.0,1.5459825149804014,635.8734170803764,31,-0.3491980135054713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.30833333333333335,0.9695070248874296,40.85234626490007,34,0.3986864575569107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.09166666666666666,1.1635867231327577,26.774308916854842,37,0.10682646581876921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.15,1.0982055490387683,94.53516588907506,40,0.2297189211966198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.24999999999999997,1.135665923054831,15.952396000064907,43,0.239896341092148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.008333333333333333,1.1506073221928612,224.63314519588585,46,-0.019506786270194032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
