kind,shift,reference,interval,metric,k,env_steps,mean,std,median,p25,p75,n
regrounded_rollout_error,id,,10,mse,3,15,0.06605663895606995,0.098366878926754,0.033702872693538666,0.018431443721055984,0.07614859938621521,200
regrounded_rollout_error,id,,10,mse,4,20,0.10246344655752182,0.15343475341796875,0.050109367817640305,0.03051897883415222,0.11585789918899536,200
regrounded_rollout_error,id,,10,mse,5,25,0.15312577784061432,0.23214669525623322,0.07107766717672348,0.040034182369709015,0.16085156798362732,200
regrounded_rollout_error,id,,10,mse,6,30,0.21298815310001373,0.2936510741710663,0.10346844792366028,0.05363590642809868,0.23872901499271393,200
regrounded_rollout_error,id,,10,mse,7,35,0.2726932764053345,0.3443434536457062,0.13846594095230103,0.07293451577425003,0.31680136919021606,200
regrounded_rollout_error,id,,10,mse,8,40,0.3338620662689209,0.3926391005516052,0.17480400204658508,0.09283518046140671,0.378225177526474,200
regrounded_rollout_error,id,,10,mse,9,45,0.3952424228191376,0.4265620708465576,0.23973506689071655,0.1352348029613495,0.4812766909599304,200
regrounded_rollout_error,id,,10,mse,10,50,0.45569923520088196,0.4184773862361908,0.34695351123809814,0.17802000045776367,0.5230075716972351,200
regrounded_rollout_error,id,,10,l2,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,10,l2,1,5,1.5998845100402832,0.7539396286010742,1.3880473375320435,1.114422082901001,1.8365302085876465,200
regrounded_rollout_error,id,,10,l2,2,10,2.3428149223327637,1.227192759513855,1.9881196022033691,1.4751782417297363,2.7105376720428467,200
regrounded_rollout_error,id,,10,l2,3,15,3.06648325920105,1.8109545707702637,2.543776273727417,1.881177544593811,3.8236708641052246,200
regrounded_rollout_error,id,,10,l2,4,20,3.8415966033935547,2.2170064449310303,3.1017656326293945,2.4206695556640625,4.7164201736450195,200
regrounded_rollout_error,id,,10,l2,5,25,4.623882293701172,2.8319361209869385,3.6940994262695312,2.7724647521972656,5.5568013191223145,200
regrounded_rollout_error,id,,10,l2,6,30,5.495175838470459,3.270591974258423,4.4569549560546875,3.2088301181793213,6.77016544342041,200
regrounded_rollout_error,id,,10,l2,7,35,6.2776031494140625,3.5984458923339844,5.156083106994629,3.742114543914795,7.7990899085998535,200
regrounded_rollout_error,id,,10,l2,8,40,7.018457412719727,3.8526322841644287,5.793303489685059,4.221889972686768,8.521685600280762,200
regrounded_rollout_error,id,,10,l2,9,45,7.798886775970459,3.881226062774658,6.784400939941406,5.095586776733398,9.612573623657227,200
regrounded_rollout_error,id,,10,l2,10,50,8.574684143066406,3.737518787384033,8.161797523498535,5.846330165863037,10.020843505859375,200
regrounded_rollout_error,id,,10,cosine,0,0,-5.9604643443123e-10,8.554668085025696e-08,0.0,0.0,5.960464477539063e-08,200
regrounded_rollout_error,id,,10,cosine,1,5,0.008976642042398453,0.011529398150742054,0.005115300416946411,0.003071710467338562,0.00938066840171814,200
regrounded_rollout_error,id,,10,cosine,2,10,0.019818417727947235,0.02660834789276123,0.010323196649551392,0.00531923770904541,0.019464686512947083,200
regrounded_rollout_error,id,,10,cosine,3,15,0.035765063017606735,0.056577522307634354,0.016768544912338257,0.008983895182609558,0.04017956554889679,200
regrounded_rollout_error,id,,10,cosine,4,20,0.055508069694042206,0.08988871425390244,0.025946885347366333,0.014976322650909424,0.06618186831474304,200
regrounded_rollout_error,id,,10,cosine,5,25,0.08185470849275589,0.12882676720619202,0.03648972511291504,0.02060598134994507,0.08480216562747955,200
regrounded_rollout_error,id,,10,cosine,6,30,0.1133938580751419,0.15846864879131317,0.05527547001838684,0.02895057201385498,0.12947556376457214,200
regrounded_rollout_error,id,,10,cosine,7,35,0.14464706182479858,0.18593336641788483,0.07468003034591675,0.039590880274772644,0.16009503602981567,200
regrounded_rollout_error,id,,10,cosine,8,40,0.17554058134555817,0.2067718654870987,0.09292149543762207,0.04877784848213196,0.19191668927669525,200
regrounded_rollout_error,id,,10,cosine,9,45,0.21015125513076782,0.2188495546579361,0.12676167488098145,0.07441289722919464,0.23348431289196014,200
regrounded_rollout_error,id,,10,cosine,10,50,0.2468365877866745,0.21800673007965088,0.1857176423072815,0.09730736911296844,0.30686521530151367,200
regrounded_rollout_error,visual,,1,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,visual,,1,mse,1,5,0.11160989850759506,0.08956925570964813,0.07988971471786499,0.04966340959072113,0.14203858375549316,200
regrounded_rollout_error,visual,,1,mse,2,10,0.11613857001066208,0.09778676182031631,0.0841934084892273,0.05104641243815422,0.14290808141231537,200
regrounded_rollout_error,visual,,1,mse,3,15,0.11466234177350998,0.08925735205411911,0.08960910141468048,0.05343983694911003,0.14003628492355347,200
regrounded_rollout_error,visual,,1,mse,4,20,0.11010274291038513,0.08459872007369995,0.08249766379594803,0.05346432328224182,0.1386612057685852,200
regrounded_rollout_error,visual,,1,mse,5,25,0.1075814813375473,0.0878501906991005,0.08147487789392471,0.04940429702401161,0.1304306983947754,200
regrounded_rollout_error,visual,,1,mse,6,30,0.10451874881982803,0.08125381171703339,0.08006162196397781,0.04939384385943413,0.13062500953674316,200
regrounded_rollout_error,visual,,1,mse,7,35,0.10337959975004196,0.07483406364917755,0.08110727369785309,0.051953744143247604,0.13095390796661377,200
