condition,anchor_interval,codebook,k,env_steps,mse,drift_over_spread
anchored,3,continuous,8,40,0.05163825675845146,0.05875841900706291
anchored,3,continuous,9,45,0.09589632600545883,0.11226329207420349
anchored,3,continuous,10,50,0.037607453763484955,0.045844461768865585
anchored,3,C128,0,0,0.0,0.0
anchored,3,C128,1,5,0.6120732426643372,0.6440205574035645
anchored,3,C128,2,10,0.7262647747993469,0.7680344581604004
anchored,3,C128,3,15,0.8273379802703857,0.8843375444412231
anchored,3,C128,4,20,0.5598365068435669,0.6093012094497681
anchored,3,C128,5,25,0.6919400691986084,0.7623461484909058
anchored,3,C128,6,30,0.8174446821212769,0.9081315398216248
anchored,3,C128,7,35,0.495369553565979,0.555921196937561
anchored,3,C128,8,40,0.609481155872345,0.6935197114944458
anchored,3,C128,9,45,0.7413446307182312,0.8678725361824036
anchored,3,C128,10,50,0.47433197498321533,0.5782229900360107
anchored,3,C512,0,0,0.0,0.0
anchored,3,C512,1,5,0.3363706171512604,0.3539275527000427
anchored,3,C512,2,10,0.4433453381061554,0.4688434898853302
anchored,3,C512,3,15,0.5628713369369507,0.6016504764556885
anchored,3,C512,4,20,0.31570374965667725,0.34359797835350037
anchored,3,C512,5,25,0.4495355188846588,0.4952765107154846
anchored,3,C512,6,30,0.593276858329773,0.6590946316719055
anchored,3,C512,7,35,0.3277099132537842,0.3677676022052765
anchored,3,C512,8,40,0.4366879165172577,0.4969008266925812
anchored,3,C512,9,45,0.5774878263473511,0.6760497093200684
anchored,3,C512,10,50,0.3514235019683838,0.4283943474292755
anchored,3,C2048,0,0,0.0,0.0
anchored,3,C2048,1,5,0.15886397659778595,0.167155921459198
anchored,3,C2048,2,10,0.23218490183353424,0.24553856253623962
anchored,3,C2048,3,15,0.3344633877277374,0.35750630497932434
anchored,3,C2048,4,20,0.18087999522686005,0.19686177372932434
anchored,3,C2048,5,25,0.2941551208496094,0.32408589124679565
anchored,3,C2048,6,30,0.4312739670276642,0.4791192412376404
anchored,3,C2048,7,35,0.20106643438339233,0.2256438434123993
anchored,3,C2048,8,40,0.28373268246650696,0.32285529375076294
anchored,3,C2048,9,45,0.3990226686000824,0.46712526679039
anchored,3,C2048,10,50,0.2151368260383606,0.2622573673725128
anchored,3,C8192,0,0,0.0,0.0
anchored,3,C8192,1,5,0.0874527171254158,0.09201733022928238
anchored,3,C8192,2,10,0.1319834589958191,0.13957422971725464
anchored,3,C8192,3,15,0.1997525542974472,0.2135145366191864
anchored,3,C8192,4,20,0.11085215210914612,0.12064656615257263
anchored,3,C8192,5,25,0.18424126505851746,0.2029881328344345
anchored,3,C8192,6,30,0.2694166302680969,0.2993055582046509
anchored,3,C8192,7,35,0.12842921912670135,0.14412780106067657
anchored,3,C8192,8,40,0.1913575977087021,0.21774302423000336
anchored,3,C8192,9,45,0.2792855203151703,0.32695215940475464
anchored,3,C8192,10,50,0.152496799826622,0.18589754402637482
anchored,5,continuous,0,0,0.0,0.0
anchored,5,continuous,1,5,0.016291946172714233,0.01714230701327324
anchored,5,continuous,2,10,0.036431171000003815,0.03852643817663193
anchored,5,continuous,3,15,0.06605665385723114,0.07060763984918594
anchored,5,continuous,4,20,0.1024634838104248,0.11151671409606934
