shift,k,plan_h,mid,subgoal,lam,init,expert_rank,top1_vs_ideal,regret
id,5,3,1,oracle,0.25,true,21.566667556762695,0.825,0.004373105708509684
id,5,3,1,oracle,0.25,drift,35.05833435058594,0.55,0.11724898219108582
id,5,3,1,oracle,0.5,true,15.25,0.7166666666666667,0.024166686460375786
id,5,3,1,oracle,0.5,drift,28.200000762939453,0.49166666666666664,0.13904349505901337
id,5,3,1,oracle,0.75,true,7.3416666984558105,0.5916666666666667,0.05145946517586708
id,5,3,1,oracle,0.75,drift,21.316667556762695,0.45,0.1801125556230545
id,5,3,1,disc2048,0.25,true,23.70833396911621,0.8583333333333333,0.0044649019837379456
id,5,3,1,disc2048,0.25,drift,35.96666717529297,0.475,0.12677931785583496
id,5,3,1,disc2048,0.5,true,20.149999618530273,0.725,0.019675005227327347
id,5,3,1,disc2048,0.5,drift,31.83333396911621,0.45,0.14027567207813263
id,5,3,1,disc2048,0.75,true,16.75,0.5916666666666667,0.05988626554608345
id,5,3,1,disc2048,0.75,drift,29.891666412353516,0.4,0.18794839084148407
id,5,5,2,none,0.0,true,9.791666984558105,1.0,0.0
id,5,5,2,none,0.0,drift,15.574999809265137,0.625,0.15432146191596985
id,5,5,2,oracle,0.25,true,5.508333206176758,0.9166666666666666,0.0023508749436587095
id,5,5,2,oracle,0.25,drift,13.725000381469727,0.6583333333333333,0.1414918303489685
id,5,5,2,oracle,0.5,true,3.491666555404663,0.8583333333333333,0.014741717837750912
id,5,5,2,oracle,0.5,drift,13.391666412353516,0.6416666666666667,0.14646539092063904
id,5,5,2,oracle,0.75,true,2.049999952316284,0.8166666666666667,0.02932453528046608
id,5,5,2,oracle,0.75,drift,13.491666793823242,0.6333333333333333,0.15439945459365845
id,5,5,2,disc2048,0.25,true,6.6583333015441895,0.9416666666666667,0.0020127384923398495
id,5,5,2,disc2048,0.25,drift,14.816666603088379,0.6416666666666667,0.14933261275291443
id,5,5,2,disc2048,0.5,true,4.925000190734863,0.8416666666666667,0.020926987752318382
id,5,5,2,disc2048,0.5,drift,15.258333206176758,0.5916666666666667,0.1759299337863922
id,5,5,2,disc2048,0.75,true,6.333333492279053,0.7583333333333333,0.05153004452586174
