shift,k,variant,latent_mse,top1_same,top5_overlap,cost_spearman,true_cost_regret
visual,1,proj_knnsoft0.3,0.1653112918138504,0.14666666666666667,0.20400001108646393,0.5809450149536133,9.70687198638916
visual,1,proj_knnsoft0.6,0.2571505308151245,0.12,0.15733332931995392,0.4941882789134979,11.316575050354004
visual,1,proj_knnsnap,0.46580734848976135,0.08666666666666667,0.1080000028014183,0.37773755192756653,12.795055389404297
visual,5,drift,0.4648193120956421,0.04666666666666667,0.06133333221077919,0.17968116700649261,28.287403106689453
visual,5,proj_pca20,0.413332998752594,0.05333333333333334,0.07599999755620956,0.3087102174758911,14.104964256286621
visual,5,proj_pca50,0.4142948389053345,0.04,0.0559999980032444,0.25912338495254517,18.70589828491211
visual,5,proj_knnsoft0.3,0.47559502720832825,0.04666666666666667,0.06933333724737167,0.18753410875797272,25.157697677612305
visual,5,proj_knnsoft0.6,0.5474603176116943,0.013333333333333334,0.057333335280418396,0.1910693645477295,24.203121185302734
visual,5,proj_knnsnap,0.738308846950531,0.013333333333333334,0.04800000041723251,0.1882079541683197,23.0036563873291
visual,10,drift,0.6851456165313721,0.02,0.03200000151991844,0.14274965226650238,29.23404312133789
visual,10,proj_pca20,0.46054017543792725,0.006666666666666667,0.05999999865889549,0.27829083800315857,12.643235206604004
visual,10,proj_pca50,0.5280572772026062,0.006666666666666667,0.02666666731238365,0.16765858232975006,20.446395874023438
visual,10,proj_knnsoft0.3,0.6574633121490479,0.006666666666666667,0.03466666862368584,0.15730254352092743,26.511058807373047
visual,10,proj_knnsoft0.6,0.69024658203125,0.006666666666666667,0.02133333310484886,0.15841728448867798,24.063417434692383
visual,10,proj_knnsnap,0.8280149102210999,0.006666666666666667,0.01733333431184292,0.15178965032100677,22.590471267700195
geometry,1,drift,0.08841422945261002,0.54,0.6440000534057617,0.8690343499183655,15.88399887084961
geometry,1,proj_pca20,0.7019741535186768,0.06666666666666667,0.1066666692495346,0.29277655482292175,63.77354049682617
geometry,1,proj_pca50,0.38522833585739136,0.19333333333333333,0.2866666615009308,0.6069446802139282,38.4904670715332
geometry,1,proj_knnsoft0.3,0.09885991364717484,0.48,0.6080000400543213,0.8556705713272095,17.495227813720703
geometry,1,proj_knnsoft0.6,0.13992196321487427,0.41333333333333333,0.530666708946228,0.8118920922279358,23.045419692993164
geometry,1,proj_knnsnap,0.24229678511619568,0.34,0.41200003027915955,0.7351082563400269,27.901588439941406
geometry,5,drift,0.40485841035842896,0.32,0.3733333349227905,0.6919203400611877,42.128902435302734
geometry,5,proj_pca20,0.709956705570221,0.05333333333333334,0.11600001156330109,0.4290878176689148,72.21751403808594
geometry,5,proj_pca50,0.5195468068122864,0.17333333333333334,0.25733330845832825,0.5963850617408752,52.211692810058594
geometry,5,proj_knnsoft0.3,0.3933619558811188,0.30666666666666664,0.3720000088214874,0.6850171685218811,41.582603454589844
geometry,5,proj_knnsoft0.6,0.41200852394104004,0.29333333333333333,0.3413333296775818,0.6594588756561279,38.902767181396484
geometry,5,proj_knnsnap,0.48375967144966125,0.22666666666666666,0.29866668581962585,0.6067328453063965,47.043087005615234
geometry,10,drift,0.7780668139457703,0.10666666666666667,0.18800000846385956,0.5463296175003052,35.7407112121582
geometry,10,proj_pca20,0.8020617961883545,0.006666666666666667,0.03999999910593033,0.34727513790130615,43.37474060058594
geometry,10,proj_pca50,0.7453383207321167,0.04,0.11599999666213989,0.4415939450263977,38.46132278442383
geometry,10,proj_knnsoft0.3,0.7378506660461426,0.10666666666666667,0.18400001525878906,0.5375383496284485,34.2050895690918
geometry,10,proj_knnsoft0.6,0.7280089259147644,0.08666666666666667,0.17733334004878998,0.514651358127594,33.80803680419922
geometry,10,proj_knnsnap,0.7621356248855591,0.05333333333333334,0.13466666638851166,0.47143858671188354,34.646339416503906
