analysis,shift,k,param,method,value,baseline,raw_mse
off_manifold,id,3,192,energy_capture,1.0,1.0,0.06605663895606995
projection_recovery,id,3,2,pca_denoise,0.9224838018417358,0.06605663895606995,
projection_recovery,id,3,5,pca_denoise,0.8936330080032349,0.06605663895606995,
projection_recovery,id,3,10,pca_denoise,0.8299975395202637,0.06605663895606995,
projection_recovery,id,3,20,pca_denoise,0.7015698552131653,0.06605663895606995,
projection_recovery,id,3,30,pca_denoise,0.5762566328048706,0.06605663895606995,
projection_recovery,id,3,50,pca_denoise,0.357992023229599,0.06605663895606995,
projection_recovery,id,3,80,pca_denoise,0.12967273592948914,0.06605663895606995,
projection_recovery,id,3,120,pca_denoise,0.06658947467803955,0.06605663895606995,
projection_recovery,id,3,160,pca_denoise,0.06605542451143265,0.06605663895606995,
projection_recovery,id,3,192,pca_denoise,0.06605664640665054,0.06605663895606995,
projection_recovery,id,3,1,knn_snap,0.09529154747724533,0.06605663895606995,
projection_recovery,id,3,0.25,knn_soft,0.056000880897045135,0.06605663895606995,
projection_recovery,id,3,0.5,knn_soft,0.05475616455078125,0.06605663895606995,
projection_recovery,id,3,0.75,knn_soft,0.06232248246669769,0.06605663895606995,
projection_recovery,id,3,1.0,knn_soft,0.07869983464479446,0.06605663895606995,
nn_density,id,3,,pred_to_nn,3.5395874977111816,3.456510543823242,
off_manifold,id,5,2,energy_capture,0.04764992743730545,0.05978308618068695,0.1531257927417755
off_manifold,id,5,5,energy_capture,0.09452350437641144,0.13194285333156586,0.1531257927417755
off_manifold,id,5,10,energy_capture,0.14941704273223877,0.2212519496679306,0.1531257927417755
off_manifold,id,5,20,energy_capture,0.24676337838172913,0.37117987871170044,0.1531257927417755
off_manifold,id,5,30,energy_capture,0.33751776814460754,0.4975653290748596,0.1531257927417755
off_manifold,id,5,50,energy_capture,0.5259429216384888,0.7052250504493713,0.1531257927417755
off_manifold,id,5,80,energy_capture,0.8344137668609619,0.9283661842346191,0.1531257927417755
off_manifold,id,5,120,energy_capture,0.9880834221839905,0.9987743496894836,0.1531257927417755
off_manifold,id,5,160,energy_capture,0.995912492275238,0.9997656345367432,0.1531257927417755
off_manifold,id,5,192,energy_capture,1.0,1.0,0.1531257927417755
projection_recovery,id,5,2,pca_denoise,0.8856949806213379,0.1531257927417755,
projection_recovery,id,5,5,pca_denoise,0.8451743721961975,0.1531257927417755,
projection_recovery,id,5,10,pca_denoise,0.7770500779151917,0.1531257927417755,
projection_recovery,id,5,20,pca_denoise,0.6619316935539246,0.1531257927417755,
projection_recovery,id,5,30,pca_denoise,0.5550824999809265,0.1531257927417755,
projection_recovery,id,5,50,pca_denoise,0.37516430020332336,0.1531257927417755,
projection_recovery,id,5,80,pca_denoise,0.20311391353607178,0.1531257927417755,
projection_recovery,id,5,120,pca_denoise,0.15338152647018433,0.1531257927417755,
projection_recovery,id,5,160,pca_denoise,0.15306778252124786,0.1531257927417755,
projection_recovery,id,5,192,pca_denoise,0.1531257927417755,0.1531257927417755,
projection_recovery,id,5,1,knn_snap,0.16857844591140747,0.1531257927417755,
projection_recovery,id,5,0.25,knn_soft,0.13352294266223907,0.1531257927417755,
projection_recovery,id,5,0.5,knn_soft,0.12502647936344147,0.1531257927417755,
projection_recovery,id,5,0.75,knn_soft,0.12763649225234985,0.1531257927417755,
projection_recovery,id,5,1.0,knn_soft,0.14135287702083588,0.1531257927417755,
